Gen-id	Homology_group	Genome_numbers	Best Arabidopsis Thaliana hit	% identity Arabidopsis Thaliana hit	full_name best hit Arabidopsis	Best cauliflower hit	% identity cauliflower hit
BroT02.C07g50000.1	837383	3	AT4G30200.2	69.499	None	BroT22.C07g49720.1	99.376
BroT19.C03g13770.1	848698	8	AT5G57380.1	68.982	VERNALIZATION INSENSITIVE 3	BroT22.C03g13840.1	99.819
BroT10.C03g14080.1	848698	10	AT5G57380.1	68.910	VERNALIZATION INSENSITIVE 3	BroT22.C03g13840.1	100.000
BroT08.C03g13230.1	848698	11	AT5G57380.1	68.821	VERNALIZATION INSENSITIVE 3	BroT22.C03g13840.1	99.639
BroT17.C01g08620.1	839067	12	AT4G30200.2	75.242	None	BroT22.C01g08580.1	99.848
BroT06.C03g13260.1	848698	6	AT5G57380.1	68.910	VERNALIZATION INSENSITIVE 3	BroT22.C03g13840.1	100.000
BroT24.C07g48190.1	837383	7	AT4G30200.2	69.916	None	BroT22.C07g49720.1	99.220
BroT24.C03g73750.1	852713	7	AT4G30200.2	74.167	None	BroT22.C03g77730.1	99.543
BroT21.C03g13330.1	848698	13	AT5G57380.1	68.910	VERNALIZATION INSENSITIVE 3	BroT22.C03g13840.1	100.000
BroT17.C07g52670.1	837383	12	AT4G30200.2	70.056	None	BroT22.C07g49720.1	99.376
BroT08.C03g76400.1	852713	11	AT4G30200.2	74.167	None	BroT22.C03g77730.1	99.543
BroT08.C07g50150.1	837383	11	AT4G30200.2	69.499	None	BroT22.C07g49720.1	99.376
BroT17.C02g14440.1	862706	12	AT5G57380.1	77.809	VERNALIZATION INSENSITIVE 3	BroT22.C02g14370.1	98.569
BolO_2g16520.1	862706	14	AT5G57380.1	57.945	VERNALIZATION INSENSITIVE 3	BroT22.C02g14370.1	98.556
BroT02.C02g14530.1	862706	3	AT5G57380.1	66.455	VERNALIZATION INSENSITIVE 3	BroT22.C02g14370.1	100.000
BroT12.C01g08860.1	839067	9	AT4G30200.2	75.104	None	BroT22.C01g08580.1	100.000
BroT19.C07g50480.1	837383	8	AT4G30200.2	69.916	None	BroT22.C07g49720.1	98.128
BroT10.C03g77160.1	852713	10	AT4G30200.2	74.167	None	BroT22.C03g77730.1	99.543
BroT17.C03g77570.1	852713	12	AT4G30200.2	74.028	None	BroT22.C03g77730.1	99.087
bro1G00867.1	839067	2	AT4G30200.2	75.104	None	BroT22.C01g08580.1	100.000
BroT10.C02g14700.1	862706	10	AT5G57380.1	77.809	VERNALIZATION INSENSITIVE 3	BroT22.C02g14370.1	98.569
BroT22.C07g49720.1	837383	15	AT4G30200.2	69.499	None	BroT22.C07g49720.1	100.000
BroT12.C02g14570.1	862706	9	AT5G57380.1	57.945	VERNALIZATION INSENSITIVE 3	BroT22.C02g14370.1	98.556
BroT17.C03g13430.1	848698	12	AT5G57380.1	68.910	VERNALIZATION INSENSITIVE 3	BroT22.C03g13840.1	100.000
BolO_3g14650.1	848698	14	AT5G57380.1	68.910	VERNALIZATION INSENSITIVE 3	BroT22.C03g13840.1	100.000
BroT12.C03g13590.1	848698	9	AT5G57380.1	69.144	VERNALIZATION INSENSITIVE 3	BroT22.C03g13840.1	96.751
rna-XM_013773617.1	848698	1	AT5G57380.1	68.498	VERNALIZATION INSENSITIVE 3	BroT22.C03g13840.1	97.292
BroT06.C01g08600.1	839067	6	AT4G30200.2	75.519	None	BroT22.C01g08580.1	98.033
BroT22.C01g08580.1	839067	15	AT4G30200.2	75.104	None	BroT22.C01g08580.1	100.000
BroT21.C07g48360.1	837383	13	AT4G30200.2	69.499	None	BroT22.C07g49720.1	99.220
BroT07.C07g50220.1	837383	4	AT4G30200.2	69.916	None	BroT22.C07g49720.1	98.908
BroT07.C02g15310.1	862706	4	AT5G57380.1	66.455	VERNALIZATION INSENSITIVE 3	BroT22.C02g14370.1	100.000
BroT10.C07g50480.1	837383	10	AT4G30200.2	69.916	None	BroT22.C07g49720.1	98.128
BroT24.C03g13560.1	848698	7	AT5G57380.1	68.821	VERNALIZATION INSENSITIVE 3	BroT22.C03g13840.1	97.292
rna-XM_013748393.1	839067	1	AT4G30200.2	75.104	None	BroT22.C01g08580.1	100.000
BroT06.C03g73490.1	852713	6	AT4G30200.2	74.167	None	BroT22.C03g77730.1	99.543
BolO_3g87530.1	852713	14	AT4G30200.2	73.611	None	BroT22.C03g77730.1	98.326
BroT13.C03g13730.1	848698	5	AT5G57380.1	68.659	VERNALIZATION INSENSITIVE 3	BroT22.C03g13840.1	96.931
BroT19.C01g08600.1	839067	8	AT4G30200.2	75.104	None	BroT22.C01g08580.1	100.000
BroT17.C03g77790.1	852713	12	AT4G30200.2	73.889	None	BroT22.C03g77730.1	98.478
BolO_1g08330.2	839067	14	AT4G30200.2	75.104	None	BroT22.C01g08580.1	100.000
BolO_7g59420.1	837383	14	AT4G30200.2	69.916	None	BroT22.C07g49720.1	98.128
BroT22.C03g77730.1	852713	15	AT4G30200.2	74.028	None	BroT22.C03g77730.1	100.000
BroT13.C03g76350.1	852713	5	AT4G30200.2	74.028	None	BroT22.C03g77730.1	99.696
BroT07.C03g77490.1	852713	4	AT4G30200.2	74.167	None	BroT22.C03g77730.1	99.543
BroT13.C07g50320.1	837383	5	AT4G30200.2	69.359	None	BroT22.C07g49720.1	98.284
BroT07.C03g13920.1	848698	4	AT5G57380.1	68.910	VERNALIZATION INSENSITIVE 3	BroT22.C03g13840.1	100.000
bro2G01568.1	862706	2	AT5G57380.1	77.809	VERNALIZATION INSENSITIVE 3	BroT22.C02g14370.1	98.569
BroT08.C02g14910.1	862706	11	AT5G57380.1	57.945	VERNALIZATION INSENSITIVE 3	BroT22.C02g14370.1	98.556
rna-XM_013743220.1	837383	1	AT4G30200.2	69.499	None	BroT22.C07g49720.1	100.000
rna-XM_013773997.1	852713	1	AT4G30200.2	73.889	None	BroT22.C03g77730.1	98.935
bro3G05094.1	852713	2	AT4G30200.2	74.167	None	BroT22.C03g77730.1	99.543
BroT06.C07g48170.1	837383	6	AT4G30200.2	69.916	None	BroT22.C07g49720.1	98.128
BroT08.C01g08660.1	839067	11	AT4G30200.2	73.859	None	BroT22.C01g08580.1	98.182
BroT21.C02g14680.1	862706	13	AT5G57380.1	66.455	VERNALIZATION INSENSITIVE 3	BroT22.C02g14370.1	100.000
BroT19.C02g14300.1	862706	8	AT5G57380.1	66.296	VERNALIZATION INSENSITIVE 3	BroT22.C02g14370.1	99.463
BroT10.C01g08620.1	839067	10	AT4G30200.2	75.104	None	BroT22.C01g08580.1	100.000
BroT19.C03g76850.1	852713	8	AT4G30200.2	73.889	None	BroT22.C03g77730.1	98.935
BroT12.C07g50870.1	837383	9	AT4G30200.2	69.499	None	BroT22.C07g49720.1	99.376
BroT21.C01g08440.1	839067	13	AT4G30200.2	75.104	None	BroT22.C01g08580.1	100.000
bro5G08343.1	848698	2	AT5G57380.1	64.902	VERNALIZATION INSENSITIVE 3	BroT22.C03g13840.1	91.275
BroT22.C03g13840.1	848698	15	AT5G57380.1	68.910	VERNALIZATION INSENSITIVE 3	BroT22.C03g13840.1	100.000
BroT07.C01g08650.1	839067	4	AT4G30200.2	75.104	None	BroT22.C01g08580.1	100.000
BroT06.C02g14560.1	862706	6	AT5G57380.1	66.455	VERNALIZATION INSENSITIVE 3	BroT22.C02g14370.1	100.000
BroT02.C01g08710.1	839067	3	AT4G30200.2	75.104	None	BroT22.C01g08580.1	100.000
BroT13.C02g14940.1	862706	5	AT5G57380.1	57.945	VERNALIZATION INSENSITIVE 3	BroT22.C02g14370.1	98.556
BroT24.C01g08470.1	839067	7	AT4G30200.2	75.104	None	BroT22.C01g08580.1	100.000
BroT02.C03g76230.1	852713	3	AT4G30200.2	73.889	None	BroT22.C03g77730.1	98.935
