Gen-id	Homology_group	Genome_numbers	Best Arabidopsis Thaliana hit	% identity Arabidopsis Thaliana hit	full_name best hit Arabidopsis	Best cauliflower hit	% identity cauliflower hit	Gene found blasting the initial query to the pangenome?	Gene found blasting the Brassica best hit to the pangenome	Species
caul8G04769.1	35124348	1	AT1G18750.3	81.205	AGAMOUS-like 65	BroT22.C08g43310.1	100.000	NO	NO	cauliflower
BroT21.C05g16090.1	35124348	3	AT1G18750.3	72.131	AGAMOUS-like 65	BroT22.C05g14390.1	89.080	NO	NO	cauliflower
BroT25.C08g21430.1	35124348	2	AT1G18750.3	79.227	AGAMOUS-like 65	BroT22.C08g22250.1	99.202	NO	NO	cauliflower
BroT21.C08g45990.1	35124348	3	AT1G18750.3	81.205	AGAMOUS-like 65	BroT22.C08g43310.1	100.000	NO	NO	cauliflower
BroT21.C07g26910.1	35124348	3	AT2G03060.2	79.630	AGAMOUS-like 30	BroT22.C07g27830.1	100.000	NO	NO	cauliflower
caul9G02660.1	35124348	1	AT2G03060.2	77.720	AGAMOUS-like 30	BroT22.C09g24920.1	100.000	NO	NO	cauliflower
BroT25.C05g16070.1	35124348	2	AT1G18750.3	64.804	AGAMOUS-like 65	BroT22.C05g14390.1	100.000	NO	NO	cauliflower
BroT21.C08g21940.1	35124348	3	AT1G18750.3	78.986	AGAMOUS-like 65	BroT22.C08g22250.1	100.000	NO	NO	cauliflower
BroT22.C07g27830.1	35124348	4	AT2G03060.2	79.630	AGAMOUS-like 30	BroT22.C07g27830.1	100.000	NO	NO	cauliflower
BroT22.C08g43310.1	35124348	4	AT1G18750.3	81.205	AGAMOUS-like 65	BroT22.C08g43310.1	100.000	NO	NO	cauliflower
BroT22.C05g14410.1	35124348	4	AT1G18750.3	46.840	AGAMOUS-like 65	BroT22.C05g14410.1	100.000	NO	NO	cauliflower
BroT21.C05g16110.1	35124348	3	AT1G18750.3	46.840	AGAMOUS-like 65	BroT22.C05g14410.1	98.404	NO	NO	cauliflower
BroT22.C09g24920.1	35124348	4	AT2G03060.2	77.720	AGAMOUS-like 30	BroT22.C09g24920.1	100.000	NO	NO	cauliflower
BroT22.C08g22250.1	35124348	4	AT1G18750.3	78.986	AGAMOUS-like 65	BroT22.C08g22250.1	100.000	NO	NO	cauliflower
caul8G02515.1	35124348	1	AT1G18750.3	78.832	AGAMOUS-like 65	BroT22.C08g22250.1	100.000	NO	NO	cauliflower
BroT25.C08g42220.1	35124348	2	AT1G18750.3	81.205	AGAMOUS-like 65	BroT22.C08g43310.1	100.000	NO	NO	cauliflower
BroT21.C05g16070.1	35124348	3	AT1G18750.3	69.948	AGAMOUS-like 65	BroT22.C08g43310.1	87.500	NO	NO	cauliflower
BroT25.C05g16090.1	35124348	2	AT1G18750.3	46.840	AGAMOUS-like 65	BroT22.C05g14410.1	100.000	NO	NO	cauliflower
caul5G01561.1	35124348	1	AT1G18750.3	46.014	AGAMOUS-like 65	BroT22.C05g14410.1	97.826	NO	NO	cauliflower
BroT25.C07g26520.1	35124348	2	AT2G03060.2	79.630	AGAMOUS-like 30	BroT22.C07g27830.1	99.733	NO	NO	cauliflower
caul7G02777.1	35124348	1	AT2G03060.2	79.630	AGAMOUS-like 30	BroT22.C07g27830.1	99.733	NO	NO	cauliflower
