Sequences,3_1_BroT25.C09g53090.1,4_1_BroT21.C09g54420.1,1_1_BolK_9g63770.2
3_1_BroT25.C09g53090.1,100,71.38,59.65
4_1_BroT21.C09g54420.1,71.38,100,42.38
1_1_BolK_9g63770.2,59.65,42.38,100
