# Busco id	GWHDTYJ00000000	GWHDUBL00000000	GWHDTYK00000000	T22	GWHDTYL00000000	GCF_000695525	GWHDUBI00000000	GWHDUBP00000000	GWHDUBH00000000	GWHDUBS00000000	GWHBKLA00000000	GWHDTYE00000000	GWHDTWX00000000	OX_heart	GWHDTYA00000000	In 1 Hom. group?
12324at3699	818620	818620	818620	818620	818620	818620	818620	818620	818620	818620	818620	818620	818620	818620	818620	True
3867at3699	813503	813503	813503	807425	813503	813503	813503	813503	813503	813503	813503	813503	813503	813503	813503	True
2946at3699	850144	850144	850144	850144	850144	850144	850144	850144	850144	850144	850144	850144	850144	850144	850144	True
15338at3699	821915	821915	821915	821915	821915	821915	821915	non	821915	821915	821915	821915	821915	821915	821915	True
7226at3699	851752	851752	851752	851752	851752	851752	851752	851752	851752	851752	851752	851752	851752	851752	851752	True
3380at3699	836426	836426	836426	836426	836426	836426	836426	836426	836426	836426	836426	836426	836426	836426	836426	True
3909at3699	831879	831879	831879	831879	831879	831879	831879	831879	831879	831879	831879	831879	831879	831879	831879	True
4871at3699	824412	824412	824412	824412	824412	824412	824412	824412	824412	824412	824412	824412	824412	824412	824412	True
7166at3699	825504	825504	825504	825504	825504	825504	825504	825504	825504	825504	825504	825504	825504	825504	825504	True
2818at3699	806961	806961	806961	806961	806961	806961	806961	806961	806961	806961	806961	806961	806961	806961	806961	True
4352at3699	818936	818936	818936	818936	818936	818936	818936	818936	818936	818936	818936	818936	818936	818936	818936	True
1309at3699	846001	846001	846001	846001	846001	846001	846001	846001	846001	929216	846001	846001	846001	846001	846001	True
7381at3699	807815	807815	807815	807815	807815	807815	807815	807815	807815	807815	807815	807815	807815	807815	807815	True
11681at3699	839438	839438	839438	839438	839438	839438	839438	839438	839438	839438	839438	839438	839438	839438	839438	True
20432at3699	812188	812188	812188	812188	812188	812188	812188	812188	812188	812188	812188	812188	812188	812188	812188	True
2756at3699	832210	832210	832210	832210	832210	832210	832210	832210	832210	832210	832210	832210	832210	non	832210	True
841at3699	817609	817609	817609	817609	817609	817609	817609	817609	817609	817609	817609	817609	817609	817609	817609	True
329at3699	845413	845413	845413	845413	845413	845413	845413	845413	845413	845413	845413	845413	845413	845413	845413	True
16470at3699	809611	809611	809611	809611	809611	809611	809611	809611	809611	809611	809611	809611	809611	809611	809611	True
21563at3699	813037	813037	813037	847393	813037	813037	813037	813037	813037	813037	813037	813037	813037	813037	813037	True
16028at3699	798881	798881	798881	798881	798881	798881	798881	798881	798881	798881	798881	798881	798881	798881	798881	True
3822at3699	862467	828562	862467	828562	862467	828562	862467	862467	862467	862467	862467	862467	828562	828562	862467	True
22069at3699	826789	826789	826789	826789	826789	826789	826789	826789	826789	826789	826789	826789	826789	826789	826789	True
16699at3699	838852	838852	838852	838852	838852	838852	838852	838852	838852	838852	838852	838852	838852	838852	838852	True
22999at3699	850040	850040	850040	850040	850040	850040	850040	850040	850040	850040	850040	850040	850040	850040	850040	True
9692at3699	822939	822939	822939	822939	822939	822939	822939	822939	822939	822939	822939	822939	822939	822939	822939	True
5105at3699	non	834936	834936	834936	834936	834936	834936	834936	non	non	834936	834936	834936	834936	non	True
24729at3699	835988	835987	835988	835988	835988	835988	835988	835988	835988	835988	835988	835987	835987	835987	835987	True
5328at3699	828514	non	828513	828514	874644	828513	874644	828513	828514	828513	828513	828513	874644	828513	828513	True
14481at3699	839470	839470	839470	839470	839470	839470	839470	839470	839470	839470	839470	839470	839470	839470	non	True
10999at3699	810086	810086	810086	810086	810086	810086	810086	810086	810086	810086	810086	810086	810086	810086	810086	True
