#BLASTP
#Strictness for accepting hits was >= 25% sequence identity with >= 65% alignment length of input sequence length
#query	subject	identity	length	mismatches	gaps	alignment start query	alignment end query	alignment start subject	alignment end subject	evalue	bitscore	PASS minimum identity	PASS minimum alignment length	genome	sequence (number)	original sequence name	start coordinate	end coordinate	mRNA length (bp)	protein length (aa)	mRNA identifier	mRNA name	mRNA node identifier	homology group node identifier	gene identifier	gene name	gene node identifier

##sequence 1,>NP_180164.1 ELF3 [organism=Arabidopsis thaliana] [GeneID=817134], 695 length
NP_180164.1	BroT13.C08g39640.1_genome_5	58.881	715	132	33	1	690	1	578	0.0	646	PASS	PASS	5	11	GWHDTYE00000011	45533866	45536556	2691	580	BroT13.C08g39640.1	-	79936835	86229419	BroT13.C08g39640	-	79936834
NP_180164.1	BroT02.C08g40110.1_genome_3	57.756	722	140	32	1	690	1	589	0.0	624	PASS	PASS	3	2	GWHDTWX00000002	43893331	43896054	2724	591	BroT02.C08g40110.1	-	78209547	86229419	BroT02.C08g40110	-	78209546
NP_180164.1	BroT17.C08g42200.1_genome_12	58.101	716	140	31	1	690	1	582	0.0	610	PASS	PASS	12	29	GWHDUBP00000029	44921231	44923936	2706	584	BroT17.C08g42200.1	-	84249148	86229419	BroT17.C08g42200	-	84249147
NP_180164.1	BroT12.C08g39740.1_genome_9	56.828	725	147	30	1	690	1	594	0.0	599	PASS	PASS	9	2	GWHDUBH00000002	44201401	44204141	2741	596	BroT12.C08g39740.1	-	81872347	86229419	BroT12.C08g39740	-	81872346
NP_180164.1	BroT06.C08g38190.1_genome_6	56.865	721	150	28	1	690	1	591	0.0	598	PASS	PASS	6	8	GWHDTYJ00000008	43877902	43880635	2734	593	BroT06.C08g38190.1	-	80453526	86229419	BroT06.C08g38190	-	80453525
NP_180164.1	rna-XM_013749374.1_genome_1	56.865	721	150	28	1	690	1	591	0.0	598	PASS	PASS	1	8	NC_027755.1	33966154	33969334	3181	593	rna-XM_013749374.1	XM_013749374.1	77246919	86229419	gene-LOC106312009	LOC106312009	77246918
NP_180164.1	BroT24.C08g38240.1_genome_7	57.064	722	148	30	1	690	1	592	0.0	597	PASS	PASS	7	8	GWHDTYK00000008	42900867	42903609	2743	594	BroT24.C08g38240.1	-	81045519	86229419	BroT24.C08g38240	-	81045518
NP_180164.1	BroT22.C08g39200.1_genome_15	57.163	719	142	30	1	690	1	582	0.0	595	PASS	PASS	15	7	C08	44619672	44622375	2704	584	BroT22.C08g39200.1	-	86083314	86229419	BroT22.C08g39200	-	86083313
NP_180164.1	BroT21.C08g41890.1_genome_13	57.163	719	142	30	1	690	1	582	0.0	595	PASS	PASS	13	8	GWHDUBS00000008	47704983	47707686	2704	584	BroT21.C08g41890.1	-	84786791	86229419	BroT21.C08g41890	-	84786790
NP_180164.1	BroT08.C08g39450.1_genome_11	56.944	720	143	31	1	690	2	584	0.0	591	PASS	PASS	11	6	GWHDUBL00000006	44553971	44556680	2710	586	BroT08.C08g39450.1	-	83412343	86229419	BroT08.C08g39450	-	83412342
NP_180164.1	BolO_8g45670.1_genome_14	57.382	718	148	31	1	690	2	589	0.0	590	PASS	PASS	14	7	C08	43576915	43580516	3602	591	BolO_8g45670.1	-	85493416	86229419	BolO_8g45670	-	85493415
NP_180164.1	BroT10.C08g39290.1_genome_10	57.382	718	148	31	1	690	2	589	0.0	590	PASS	PASS	10	4	GWHDUBI00000004	45211203	45213929	2727	591	BroT10.C08g39290.1	-	82634166	86229419	BroT10.C08g39290	-	82634165
NP_180164.1	BroT19.C08g40660.1_genome_8	57.382	718	148	31	1	690	2	589	0.0	590	PASS	PASS	8	9	GWHDTYL00000009	45788790	45791516	2727	591	BroT19.C08g40660.1	-	81740004	86229419	BroT19.C08g40660	-	81740003
NP_180164.1	BroT07.C08g40260.1_genome_4	57.382	718	148	31	1	690	2	589	0.0	590	PASS	PASS	4	11	GWHDTYA00000011	43527935	43530661	2727	591	BroT07.C08g40260.1	-	79320886	86229419	BroT07.C08g40260	-	79320885
NP_180164.1	bro8G04566.1_genome_2	57.382	718	148	31	1	690	2	589	0.0	590	PASS	PASS	2	8	GWHBKLA00000008	44990193	44993457	3265	591	bro8G04566.1	-	78009053	86229419	bro8G04566	-	78009052
NP_180164.1	BroT08.C04g45600.1_genome_11	60.440	546	132	19	169	692	96	579	5.96e-154	461	PASS	PASS	11	3	GWHDUBL00000003	57520495	57523315	2821	584	BroT08.C04g45600.1	-	83213021	86211705	BroT08.C04g45600	-	83213020
NP_180164.1	BroT08.C04g45600.1_genome_11	61.783	157	46	7	1	149	1	151	2.90e-36	148	PASS	FAIL	11	
NP_180164.1	BroT24.C04g44060.1_genome_7	60.149	537	133	17	169	692	96	564	1.20e-151	455	PASS	PASS	7	4	GWHDTYK00000004	52732608	52735396	2789	569	BroT24.C04g44060.1	-	80806341	86211706	BroT24.C04g44060	-	80806340
NP_180164.1	BroT24.C04g44060.1_genome_7	61.783	157	46	7	1	149	1	151	1.12e-36	149	PASS	FAIL	7	
NP_180164.1	BroT17.C04g48680.1_genome_12	60.374	535	130	17	169	690	96	561	7.31e-151	452	PASS	PASS	12	17	GWHDUBP00000017	59817150	59819845	2696	561	BroT17.C04g48680.1	-	83829552	86211705	BroT17.C04g48680	-	83829551
NP_180164.1	BroT17.C04g48680.1_genome_12	62.420	157	45	7	1	149	1	151	6.31e-38	152	PASS	FAIL	12	
NP_180164.1	BroT19.C04g45990.1_genome_8	59.032	537	136	17	169	692	96	561	8.97e-151	452	PASS	PASS	8	3	GWHDTYL00000003	57244979	57247751	2773	566	BroT19.C04g45990.1	-	81318076	86211706	BroT19.C04g45990	-	81318075
NP_180164.1	BroT19.C04g45990.1_genome_8	62.420	157	45	7	1	149	1	151	4.73e-37	150	PASS	FAIL	8	
NP_180164.1	BroT07.C04g45770.1_genome_4	59.032	537	136	17	169	692	96	561	8.97e-151	452	PASS	PASS	4	2	GWHDTYA00000002	52884088	52886860	2773	566	BroT07.C04g45770.1	-	78840900	86211706	BroT07.C04g45770	-	78840899
NP_180164.1	BroT07.C04g45770.1_genome_4	62.420	157	45	7	1	149	1	151	4.73e-37	150	PASS	FAIL	4	
NP_180164.1	rna-XM_013781351.1_genome_1	59.032	537	136	17	169	692	96	561	8.97e-151	452	PASS	PASS	1	4	NC_027751.1	43345618	43348843	3226	566	rna-XM_013781351.1	XM_013781351.1	76981908	86211706	gene-LOC106342423	LOC106342423	76981907
NP_180164.1	rna-XM_013781351.1_genome_1	62.420	157	45	7	1	149	1	151	4.73e-37	150	PASS	FAIL	1	
NP_180164.1	BolO_4g49770.1_genome_14	60.187	535	131	17	169	690	96	561	4.03e-150	451	PASS	PASS	14	4	C04	49627857	49636534	8678	561	BolO_4g49770.1	-	85211143	86211705	BolO_4g49770	-	85211142
NP_180164.1	BolO_4g49770.1_genome_14	62.420	157	45	7	1	149	1	151	5.79e-38	152	PASS	FAIL	14	
NP_180164.1	BroT10.C04g46400.1_genome_10	60.187	535	131	17	169	690	96	561	4.03e-150	451	PASS	PASS	10	6	GWHDUBI00000006	59473669	59476362	2694	561	BroT10.C04g46400.1	-	82758342	86211705	BroT10.C04g46400	-	82758341
NP_180164.1	BroT10.C04g46400.1_genome_10	62.420	157	45	7	1	149	1	151	5.79e-38	152	PASS	FAIL	10	
NP_180164.1	BroT02.C04g45210.1_genome_3	60.187	535	131	17	169	690	96	561	4.03e-150	451	PASS	PASS	3	5	GWHDTWX00000005	54908731	54911424	2694	561	BroT02.C04g45210.1	-	78395161	86211705	BroT02.C04g45210	-	78395160
NP_180164.1	BroT02.C04g45210.1_genome_3	62.420	157	45	7	1	149	1	151	5.79e-38	152	PASS	FAIL	3	
NP_180164.1	bro4G05338.1_genome_2	60.187	535	131	17	169	690	96	561	4.03e-150	451	PASS	PASS	2	3	GWHBKLA00000003	54060720	54063413	2694	561	bro4G05338.1	-	77640383	86211705	bro4G05338	-	77640382
NP_180164.1	bro4G05338.1_genome_2	62.420	157	45	7	1	149	1	151	5.79e-38	152	PASS	FAIL	2	
NP_180164.1	BroT13.C04g45650.1_genome_5	63.253	498	101	17	206	690	112	540	1.08e-149	449	PASS	PASS	5	2	GWHDTYE00000002	56556685	56559377	2693	540	BroT13.C04g45650.1	-	79459229	86211705	BroT13.C04g45650	-	79459228
NP_180164.1	BroT13.C04g45650.1_genome_5	52.258	155	43	7	1	149	1	130	7.42e-26	116	PASS	FAIL	5	
NP_180164.1	BroT12.C04g46910.1_genome_9	71.654	381	68	13	327	692	66	421	1.28e-143	429	PASS	FAIL	9	
NP_180164.1	BroT12.C04g46910.1_genome_9	39.535	86	46	4	102	182	1	85	0.003	44.7	PASS	FAIL	9	
NP_180164.1	BroT13.C04g45680.1_genome_5	54.839	527	140	15	169	690	96	529	4.79e-135	411	PASS	PASS	5	2	GWHDTYE00000002	56574348	56577040	2693	529	BroT13.C04g45680.1	-	79459267	86211705	BroT13.C04g45680	-	79459266
NP_180164.1	BroT13.C04g45680.1_genome_5	62.420	157	45	7	1	149	1	151	2.61e-38	153	PASS	FAIL	5	
NP_180164.1	BroT12.C04g46940.1_genome_9	70.711	239	41	8	466	692	12	233	6.85e-72	236	PASS	FAIL	9	
NP_180164.1	BroT12.C04g46930.1_genome_9	62.585	147	41	6	1	139	1	141	7.69e-38	145	PASS	FAIL	9	
NP_180164.1	BroT12.C04g46930.1_genome_9	86.207	58	8	0	318	375	211	268	8.39e-27	114	PASS	FAIL	9	
NP_180164.1	BroT08.C03g45620.1_genome_11	30.583	412	170	13	301	691	211	527	1.45e-36	148	PASS	FAIL	11	
NP_180164.1	BroT06.C03g44650.1_genome_6	30.732	410	169	14	301	691	211	524	5.66e-36	146	PASS	FAIL	6	
NP_180164.1	BroT02.C03g45980.1_genome_3	30.508	413	166	15	301	691	211	524	1.51e-35	145	PASS	FAIL	3	
NP_180164.1	BroT12.C03g46830.1_genome_9	30.508	413	166	15	301	691	211	524	1.63e-35	145	PASS	FAIL	9	
NP_180164.1	BroT07.C03g46220.1_genome_4	30.508	413	166	15	301	691	211	524	1.63e-35	145	PASS	FAIL	4	
NP_180164.1	BroT22.C03g46310.1_genome_15	29.782	413	169	14	301	691	178	491	3.03e-33	137	PASS	FAIL	15	
NP_180164.1	BroT21.C03g45030.1_genome_13	29.782	413	169	14	301	691	178	491	3.03e-33	137	PASS	FAIL	13	
NP_180164.1	BroT10.C03g46540.1_genome_10	29.782	413	169	14	301	691	178	491	3.03e-33	137	PASS	FAIL	10	
NP_180164.1	BroT19.C03g46140.1_genome_8	29.782	413	169	14	301	691	178	491	3.03e-33	137	PASS	FAIL	8	
NP_180164.1	BroT24.C03g44740.1_genome_7	29.782	413	169	14	301	691	178	491	3.03e-33	137	PASS	FAIL	7	
NP_180164.1	BroT13.C03g45920.1_genome_5	29.782	413	169	14	301	691	178	491	3.03e-33	137	PASS	FAIL	5	
NP_180164.1	bro5G04968.1_genome_2	29.782	413	169	14	301	691	199	512	3.61e-33	137	PASS	FAIL	2	
NP_180164.1	bro5G04967.1_genome_2	29.782	413	169	14	301	691	199	512	3.61e-33	137	PASS	FAIL	2	
NP_180164.1	BroT17.C03g45320.1_genome_12	29.782	413	169	14	301	691	179	492	3.71e-33	137	PASS	FAIL	12	
NP_180164.1	BolO_3g51350.1_genome_14	29.782	413	169	14	301	691	203	516	7.71e-33	137	PASS	FAIL	14	
NP_180164.1	BroT21.C03g45040.1_genome_13	29.782	413	169	14	301	691	203	516	7.71e-33	137	PASS	FAIL	13	
NP_180164.1	rna-XM_013770847.1_genome_1	29.187	418	173	18	301	691	16	337	1.76e-30	126	PASS	FAIL	1	
NP_180164.1	BroT22.C01g37020.1_genome_15	28.822	399	172	14	301	691	220	514	1.74e-28	124	PASS	FAIL	15	
NP_180164.1	BroT22.C01g37020.1_genome_15	30.263	76	43	3	3	75	5	73	9.7	33.5	PASS	FAIL	15	
NP_180164.1	BolO_1g41520.2_genome_14	28.822	399	172	14	301	691	220	514	1.74e-28	124	PASS	FAIL	14	
NP_180164.1	BolO_1g41520.2_genome_14	30.263	76	43	3	3	75	5	73	9.7	33.5	PASS	FAIL	14	
NP_180164.1	BroT17.C01g37690.1_genome_12	28.822	399	172	14	301	691	220	514	1.74e-28	124	PASS	FAIL	12	
NP_180164.1	BroT17.C01g37690.1_genome_12	30.263	76	43	3	3	75	5	73	9.7	33.5	PASS	FAIL	12	
NP_180164.1	BroT08.C01g37570.1_genome_11	28.822	399	172	14	301	691	220	514	1.74e-28	124	PASS	FAIL	11	
NP_180164.1	BroT08.C01g37570.1_genome_11	30.263	76	43	3	3	75	5	73	9.7	33.5	PASS	FAIL	11	
NP_180164.1	BroT10.C01g37380.1_genome_10	28.822	399	172	14	301	691	220	514	1.74e-28	124	PASS	FAIL	10	
NP_180164.1	BroT10.C01g37380.1_genome_10	30.263	76	43	3	3	75	5	73	9.7	33.5	PASS	FAIL	10	
NP_180164.1	BroT06.C01g36380.1_genome_6	28.822	399	172	14	301	691	220	514	1.74e-28	124	PASS	FAIL	6	
NP_180164.1	BroT06.C01g36380.1_genome_6	30.263	76	43	3	3	75	5	73	9.7	33.5	PASS	FAIL	6	
NP_180164.1	BroT13.C01g36270.1_genome_5	28.822	399	172	14	301	691	220	514	1.74e-28	124	PASS	FAIL	5	
NP_180164.1	BroT13.C01g36270.1_genome_5	30.263	76	43	3	3	75	5	73	9.7	33.5	PASS	FAIL	5	
NP_180164.1	BroT07.C01g37730.1_genome_4	28.822	399	172	14	301	691	220	514	1.74e-28	124	PASS	FAIL	4	
NP_180164.1	BroT07.C01g37730.1_genome_4	30.263	76	43	3	3	75	5	73	9.7	33.5	PASS	FAIL	4	
NP_180164.1	rna-XM_013730682.1_genome_1	28.822	399	172	14	301	691	217	511	6.63e-28	122	PASS	FAIL	1	
