Gen-id	Homology_group	Genome_numbers	start coordinate	end coordinate	Best Arabidopsis Thaliana hit	% identity Arabidopsis Thaliana hit	full_name best hit Arabidopsis	Best cauliflower hit	% identity cauliflower hit	Gene found blasting the initial query to the pangenome?	Gene found blasting the Brassica best hit to the pangenome	Species
BroT08.C08g12150.1	799107	11	23207044.0	23209521.0	AT4G16845.1	73.474	REDUCED VERNALIZATION RESPONSE 2	BroT22.C08g12670.1	92.958	YES	YES	brussels sprouts
BroT24.C08g12210.1	799107	7	21979494.0	21981971.0	AT4G16845.1	73.474	REDUCED VERNALIZATION RESPONSE 2	BroT22.C08g12670.1	92.958	YES	YES	broccoli
BroT06.C08g11830.1	799107	6	21976934.0	21979411.0	AT4G16845.1	73.474	REDUCED VERNALIZATION RESPONSE 2	BroT22.C08g12670.1	92.958	YES	YES	round cabbage
BroT02.C08g12910.1	799107	3	23243286.0	23245763.0	AT4G16845.1	73.474	REDUCED VERNALIZATION RESPONSE 2	BroT22.C08g12670.1	92.958	YES	YES	flat cabbage
BroT19.C08g12920.1	799107	8	24180760.0	24183233.0	AT4G16845.1	73.474	REDUCED VERNALIZATION RESPONSE 2	BroT22.C08g12670.1	92.958	YES	YES	chinese kale
BroT21.C08g12340.1	799107	13	20903331.0	20905807.0	AT4G16845.1	73.474	REDUCED VERNALIZATION RESPONSE 2	BroT22.C08g12670.1	93.310	YES	YES	cauliflower
BroT17.C08g13950.1	799107	12	22508333.0	22510809.0	AT4G16845.1	73.474	REDUCED VERNALIZATION RESPONSE 2	BroT22.C08g12670.1	93.310	YES	YES	collard greens
BroT07.C08g12730.1	799107	4	21529884.0	21532361.0	AT4G16845.1	73.239	REDUCED VERNALIZATION RESPONSE 2	BroT22.C08g12670.1	93.662	YES	YES	kohlrabi
bro8G01685.1	799107	2	24651172.0	24654138.0	AT4G16845.1	73.131	REDUCED VERNALIZATION RESPONSE 2	BroT22.C08g12670.1	92.308	YES	YES	broccoli
BolO_8g14700.1	799107	14	22480913.0	22483896.0	AT4G16845.1	76.904	REDUCED VERNALIZATION RESPONSE 2	BroT22.C08g12670.1	94.014	YES	YES	wild cabbage
