#BLASTP
#Strictness for accepting hits was >= 25% sequence identity with >= 65% alignment length of input sequence length
#highest in sequence	#query	subject	identity	length	mismatches	gaps	alignment start query	alignment end query	alignment start subject	alignment end subject	evalue	bitscore	PASS minimum identity	PASS minimum alignment length	genome	sequence (number)	original sequence name	start coordinate	end coordinate	mRNA length (bp)	protein length (aa)	mRNA identifier	mRNA name	mRNA node identifier	homology group node identifier	gene identifier	gene name	gene node identifier
##sequence 1,>BroT22.C08g39200.1, 584 length
1_1	BroT22.C08g39200.1	caul1G03945.1_genome_1	28.571	399	165	14	197	580	217	510	1.80e-27	118	PASS	PASS	1	1	GWHBKKZ00000001	38925196	38927080	1885	517	caul1G03945.1	-	32367026	35153983	caul1G03945	-	32367025
2_1	BroT22.C08g39200.1	BroT25.C01g35860.1_genome_2	28.321	399	166	14	197	580	218	511	2.55e-27	118	PASS	PASS	2	1	GWHDTYM00000001	38226155	38228039	1885	518	BroT25.C01g35860.1	-	32973630	35153983	BroT25.C01g35860	-	32973629
1_3	BroT22.C08g39200.1	caul3G04815.1_genome_1	29.262	393	193	13	197	582	14	328	2.16e-32	129	PASS	PASS	1	3	GWHBKKZ00000003	31838225	31839389	1165	329	caul3G04815.1	-	32505710	35172181	caul3G04815	-	32505709
3_1	BroT22.C08g39200.1	BroT21.C01g36630.1_genome_3	28.571	399	165	14	197	580	217	510	1.80e-27	118	PASS	PASS	3	1	GWHDUBS00000001	43127165	43129049	1885	517	BroT21.C01g36630.1	-	33561653	35153983	BroT21.C01g36630	-	33561652
2_3	BroT22.C08g39200.1	BroT25.C03g44510.1_genome_2	28.283	396	193	12	197	582	176	490	1.04e-31	130	PASS	PASS	2	3	GWHDTYM00000003	31648642	31650548	1907	491	BroT25.C03g44510.1	-	33104640	35172181	BroT25.C03g44510	-	33104639
4_1	BroT22.C08g39200.1	BroT22.C01g37020.1_genome_4	28.321	399	166	14	197	580	218	511	2.55e-27	118	PASS	PASS	4	1	C01	40636156	40638040	1885	518	BroT22.C01g37020.1	-	34168038	35153983	BroT22.C01g37020	-	34168037
3_3	BroT22.C08g39200.1	BroT21.C03g45030.1_genome_3	28.283	396	193	12	197	582	176	490	1.04e-31	130	PASS	PASS	3	3	GWHDUBS00000003	32022333	32024239	1907	491	BroT21.C03g45030.1	-	33698627	35172181	BroT21.C03g45030	-	33698626
BroT22.C08g39200.1	BroT21.C03g45040.1_genome_3	28.283	396	193	12	197	582	201	515	1.21e-31	130	PASS	PASS	3	3	GWHDUBS00000003	32030342	32032248	1907	516	BroT21.C03g45040.1	-	33698639	35172182	BroT21.C03g45040	-	33698638
1_5	BroT22.C08g39200.1	caul5G03852.1_genome_1	27.556	450	215	18	5	406	5	391	1.50e-21	100	PASS	PASS	1	5	GWHBKKZ00000005	38184762	38186878	2117	538	caul5G03852.1	-	32660418	35185811	caul5G03852	-	32660417
4_3	BroT22.C08g39200.1	BroT22.C03g46310.1_genome_4	28.283	396	193	12	197	582	176	490	1.04e-31	130	PASS	PASS	4	3	C03	31992441	31994347	1907	491	BroT22.C03g46310.1	-	34298906	35172181	BroT22.C03g46310	-	34298905
2_5	BroT22.C08g39200.1	BroT25.C05g36030.1_genome_2	27.556	450	215	18	5	406	5	391	1.50e-21	100	PASS	PASS	2	5	GWHDTYM00000005	38484167	38486283	2117	538	BroT25.C05g36030.1	-	33249664	35185811	BroT25.C05g36030	-	33249663
3_5	BroT22.C08g39200.1	BroT21.C05g34800.1_genome_3	27.556	450	215	18	5	406	5	391	1.50e-21	100	PASS	PASS	3	5	GWHDUBS00000005	33932257	33934373	2117	538	BroT21.C05g34800.1	-	33841511	35185811	BroT21.C05g34800	-	33841510
1_8	BroT22.C08g39200.1	caul8G04351.1_genome_1	100.000	584	0	0	1	584	1	584	0.0	1212	PASS	PASS	1	8	GWHBKKZ00000008	42004422	42007125	2704	584	caul8G04351.1	-	32845974	35196463	caul8G04351	-	32845973
2_8	BroT22.C08g39200.1	BroT25.C08g38180.1_genome_2	100.000	584	0	0	1	584	1	584	0.0	1212	PASS	PASS	2	8	GWHDTYM00000008	41201738	41204441	2704	584	BroT25.C08g38180.1	-	33429278	35196463	BroT25.C08g38180	-	33429277
4_7	BroT22.C08g39200.1	BroT22.C08g39200.1_genome_4	100.000	584	0	0	1	584	1	584	0.0	1212	PASS	PASS	4	7	C08	44619672	44622375	2704	584	BroT22.C08g39200.1	-	34609460	35196463	BroT22.C08g39200	-	34609459
3_8	BroT22.C08g39200.1	BroT21.C08g41890.1_genome_3	100.000	584	0	0	1	584	1	584	0.0	1212	PASS	PASS	3	8	GWHDUBS00000008	47704983	47707686	2704	584	BroT21.C08g41890.1	-	34034759	35196463	BroT21.C08g41890	-	34034758
4_10	BroT22.C08g39200.1	BroT22.C05g34960.1_genome_4	27.556	450	215	18	5	406	5	391	1.50e-21	100	PASS	PASS	4	10	C05	40919074	40921190	2117	538	BroT22.C05g34960.1	-	34444374	35185811	BroT22.C05g34960	-	34444373

