Gen-id	Homology_group	Genome_numbers	start coordinate	end coordinate	Best Arabidopsis Thaliana hit	% identity Arabidopsis Thaliana hit	full_name best hit Arabidopsis	Best cauliflower hit	% identity cauliflower hit	Gene found blasting the initial query to the pangenome?	Gene found blasting the Brassica best hit to the pangenome	Species
BroT21.C08g12340.1	35126704	3	20903331.0	20905807.0	AT4G16845.1	73.474	REDUCED VERNALIZATION RESPONSE 2	BroT22.C08g12670.1	93.310	YES	YES	cauliflower
caul8G01484.1	35126704	1	20571298.0	20573774.0	AT4G16845.1	73.474	REDUCED VERNALIZATION RESPONSE 2	BroT22.C08g12670.1	93.310	YES	YES	cauliflower
BroT25.C08g12070.1	35126704	2	20193130.0	20195611.0	AT4G16845.1	76.650	REDUCED VERNALIZATION RESPONSE 2	BroT22.C08g12670.1	94.366	YES	YES	cauliflower
BroT22.C08g12670.1	35126704	4	23693947.0	23696428.0	AT4G16845.1	68.846	REDUCED VERNALIZATION RESPONSE 2	BroT22.C08g12670.1	100.000	YES	YES	cauliflower
BroT21.C01g23080.1	35126704	3	22255069.0	22258014.0	AT4G16845.1	51.887	REDUCED VERNALIZATION RESPONSE 2	BroT22.C01g23400.1	85.031	YES	YES	cauliflower
caul1G02403.1	35126704	1	16864528.0	16872445.0	AT4G16845.1	51.887	REDUCED VERNALIZATION RESPONSE 2	BroT22.C01g23400.1	84.255	YES	YES	cauliflower
BroT25.C01g23240.1	35126704	2	17287111.0	17289936.0	AT4G16845.1	49.533	REDUCED VERNALIZATION RESPONSE 2	BroT22.C01g23400.1	88.312	YES	YES	cauliflower
BroT22.C01g23400.1	35126704	4	17235225.0	17238050.0	AT4G16845.1	44.575	REDUCED VERNALIZATION RESPONSE 2	BroT22.C01g23400.1	100.000	YES	YES	cauliflower
BroT21.C09g32100.1	35125729	3	37657867.0	37662369.0	AT5G51230.1	90.952	EMBRYONIC FLOWER 2	BroT22.C09g31890.1	99.842	YES	YES	cauliflower
caul9G03458.1	35125729	1	37207889.0	37212391.0	AT5G51230.1	90.952	EMBRYONIC FLOWER 2	BroT22.C09g31890.1	99.842	YES	YES	cauliflower
BroT22.C09g31890.1	35125729	4	38502514.0	38507016.0	AT5G51230.1	91.111	EMBRYONIC FLOWER 2	BroT22.C09g31890.1	100.000	YES	YES	cauliflower
BroT25.C09g31900.1	35125729	2	37782220.0	37786721.0	AT5G51230.1	91.111	EMBRYONIC FLOWER 2	BroT22.C09g31890.1	100.000	YES	YES	cauliflower
BroT22.C02g19440.1	35125729	4	16289409.0	16294039.0	AT5G51230.1	84.444	EMBRYONIC FLOWER 2	BroT22.C02g19440.1	100.000	YES	YES	cauliflower
BroT21.C02g19320.1	35125729	3	15744659.0	15749289.0	AT5G51230.1	84.444	EMBRYONIC FLOWER 2	BroT22.C02g19440.1	100.000	YES	YES	cauliflower
BroT25.C02g19710.1	35125729	2	16101022.0	16105652.0	AT5G51230.1	84.444	EMBRYONIC FLOWER 2	BroT22.C02g19440.1	100.000	YES	YES	cauliflower
caul2G02034.1	35125729	1	15604191.0	15608821.0	AT5G51230.1	84.444	EMBRYONIC FLOWER 2	BroT22.C02g19440.1	100.000	YES	YES	cauliflower
BroT21.C04g07080.1	35125901	3	6361265.0	6363946.0	AT4G16845.1	37.632	REDUCED VERNALIZATION RESPONSE 2	BroT22.C04g11390.1	100.000	YES	YES	cauliflower
BroT25.C04g10780.1	35125901	2	9220586.0	9223266.0	AT4G16845.1	37.632	REDUCED VERNALIZATION RESPONSE 2	BroT22.C04g11390.1	100.000	YES	YES	cauliflower
caul4G01132.1	35125901	1	9296445.0	9299126.0	AT4G16845.1	37.632	REDUCED VERNALIZATION RESPONSE 2	BroT22.C04g11390.1	100.000	YES	YES	cauliflower
BroT21.C04g06340.1	35125901	3	5668398.0	5671094.0	AT4G16845.1	36.842	REDUCED VERNALIZATION RESPONSE 2	BroT22.C04g10710.1	100.000	YES	YES	cauliflower
BroT25.C04g10160.1	35125901	2	8573522.0	8576218.0	AT4G16845.1	36.842	REDUCED VERNALIZATION RESPONSE 2	BroT22.C04g10710.1	100.000	YES	YES	cauliflower
caul4G01059.1	35125901	1	8603578.0	8606274.0	AT4G16845.1	36.842	REDUCED VERNALIZATION RESPONSE 2	BroT22.C04g10710.1	100.000	YES	YES	cauliflower
