Gen-id	Homology_group	Genome_numbers	start coordinate	end coordinate	Best Arabidopsis Thaliana hit	% identity Arabidopsis Thaliana hit	full_name best hit Arabidopsis	Best cauliflower hit	% identity cauliflower hit	Gene found blasting the initial query to the pangenome?	Gene found blasting the Brassica best hit to the pangenome	Species
BroT22.C02g20180.1	35132722	4	16922083.0	16923839.0	AT1G65480.2	86.207	FLOWERING LOCUS T	BroT22.C02g20180.1	100.000	YES	YES	cauliflower
BroT21.C02g20050.1	35132722	3	16371877.0	16373633.0	AT1G65480.2	86.207	FLOWERING LOCUS T	BroT22.C02g20180.1	100.000	YES	YES	cauliflower
BroT25.C02g20420.1	35132722	2	16733392.0	16735148.0	AT1G65480.2	86.207	FLOWERING LOCUS T	BroT22.C02g20180.1	100.000	YES	YES	cauliflower
caul2G02107.1	35132722	1	16231409.0	16233165.0	AT1G65480.2	86.207	FLOWERING LOCUS T	BroT22.C02g20180.1	100.000	YES	YES	cauliflower
BroT22.C06g31900.1	35132722	4	41324587.0	41326867.0	AT1G65480.2	82.184	FLOWERING LOCUS T	BroT22.C06g31900.1	100.000	YES	YES	cauliflower
BroT21.C06g31770.1	35132722	3	37174818.0	37177097.0	AT1G65480.2	82.184	FLOWERING LOCUS T	BroT22.C06g31900.1	100.000	YES	YES	cauliflower
BroT25.C06g30790.1	35132722	2	37688167.0	37690447.0	AT1G65480.2	82.184	FLOWERING LOCUS T	BroT22.C06g31900.1	100.000	YES	YES	cauliflower
caul6G03333.1	35132722	1	38916126.0	38918405.0	AT1G65480.2	82.184	FLOWERING LOCUS T	BroT22.C06g31900.1	100.000	YES	YES	cauliflower
BroT25.C02g29940.1	35132722	2	29370381.0	29372103.0	AT4G20370.1	67.327	TWIN SISTER OF FT	BroT22.C02g20180.1	66.337	YES	YES	cauliflower
BroT22.C06g42150.1	35132722	4	48883168.0	48885212.0	AT1G65480.2	78.667	FLOWERING LOCUS T	BroT22.C06g42150.1	100.000	YES	YES	cauliflower
BroT21.C06g41960.1	35132722	3	44707656.0	44709700.0	AT1G65480.2	78.667	FLOWERING LOCUS T	BroT22.C06g42150.1	100.000	YES	YES	cauliflower
BroT25.C06g40900.1	35132722	2	45225767.0	45227811.0	AT1G65480.2	78.667	FLOWERING LOCUS T	BroT22.C06g42150.1	100.000	YES	YES	cauliflower
caul6G04163.1	35132722	1	46448964.0	46451008.0	AT1G65480.2	78.667	FLOWERING LOCUS T	BroT22.C06g42150.1	100.000	YES	YES	cauliflower
BroT22.C03g57330.1	35132722	4	43453356.0	43454207.0	AT5G62040.1	89.831	brother of FT and TFL1	BroT22.C03g57330.1	100.000	YES	YES	cauliflower
BroT21.C03g55540.1	35132722	3	43102357.0	43103208.0	AT5G62040.1	89.831	brother of FT and TFL1	BroT22.C03g57330.1	100.000	YES	YES	cauliflower
BroT25.C03g55040.1	35132722	2	43107972.0	43108823.0	AT5G62040.1	89.831	brother of FT and TFL1	BroT22.C03g57330.1	100.000	YES	YES	cauliflower
caul3G05967.1	35132722	1	42946729.0	42947580.0	AT5G62040.1	89.831	brother of FT and TFL1	BroT22.C03g57330.1	100.000	YES	YES	cauliflower
BroT22.C02g01300.1	35132722	4	1088950.0	1090064.0	AT5G03840.1	88.827	TERMINAL FLOWER 1	BroT22.C02g01300.1	100.000	YES	YES	cauliflower
BroT21.C02g01510.1	35132722	3	1077251.0	1078365.0	AT5G03840.1	88.827	TERMINAL FLOWER 1	BroT22.C02g01300.1	100.000	YES	YES	cauliflower
BroT25.C02g01490.1	35132722	2	1175111.0	1176225.0	AT5G03840.1	88.827	TERMINAL FLOWER 1	BroT22.C02g01300.1	100.000	YES	YES	cauliflower
caul2G00134.1	35132722	1	936683.0	937797.0	AT5G03840.1	88.827	TERMINAL FLOWER 1	BroT22.C02g01300.1	100.000	YES	YES	cauliflower
BroT21.C04g16110.1	35132722	3	15949870.0	15951412.0	AT2G27550.1	92.571	centroradialis	BroT22.C04g19990.1	98.266	YES	YES	cauliflower
BroT25.C04g19150.1	35132722	2	18840166.0	18841708.0	AT2G27550.1	92.571	centroradialis	BroT22.C04g19990.1	98.266	YES	YES	cauliflower
caul4G02120.1	35132722	1	18479032.0	18480574.0	AT2G27550.1	92.571	centroradialis	BroT22.C04g19990.1	98.266	YES	YES	cauliflower
