#13 matrices: 7 with percentages and 6 with gene counts

#Three different gene counts:
# DISTINCT  : always count a maximum 1
# SEMI      : Counts gene copies of genome A up to number of copies in genome B.
# EVERYTHING: Count all genes of genome A as long as the other genome has a copy.

#Percentages of genes shared between two genomes. Gene counts are divided either by the sum of one or both genomes
#1 Percentage SEMI gene counts. Derived from #11 & #12
#2 Percentage SEMI gene counts, genome left column. Derived from #11 & #11 diagonal
#3 Percentage DISTINCT gene counts. Derived from #7 & #8
#4 Percentage DISTINCT based on genome in left column. Derived from #7 & #7 diagonal
#5 Percentage informative DISTINCT based on both genomes. Derived from #9 & #10
#6 Percentage EVERYTHING gene counts based on genome in left column. Derived from #13 & #13 diagonal

#Gene counts between two genomes
#7 shared DISTINCT genes
#8 unshared DISTINCT genes
#9 shared informative DISTINCT genes
#10 unshared informative DISTINCT genes
#11 SEMI shared genes
#12 SEMI unshared genes
#13 EVERYTHING shared genes


#1 Percentage based on SEMI gene counts of both genomes (#11 & #12)
Genomes,1,10,11,12,13,14,15,2,3,4,5,6,7,8,9
1,0,42.38,42.28,42.29,40.68,45.01,44.29,44.17,41.21,42.48,42.06,42.32,42.60,43.95,41.94
10,42.38,0,53.83,53.68,51.21,53.41,40.79,48.61,43.40,53.77,53.37,52.92,52.97,52.99,52.16
11,42.28,53.83,0,54.92,50.90,52.87,41.57,48.95,43.48,55.19,53.25,53.12,54.78,53.58,52.73
12,42.29,53.68,54.92,0,50.92,52.98,40.88,48.84,43.32,54.67,52.78,52.97,53.91,53.16,52.25
13,40.68,51.21,50.90,50.92,0,51.32,38.97,46.41,41.39,51.27,51.18,51.67,51.12,51.03,51.01
14,45.01,53.41,52.87,52.98,51.32,0,40.38,49.49,43.93,54.09,53.01,53.68,53.62,55.84,53.42
15,44.29,40.79,41.57,40.88,38.97,40.38,0,42.21,38.95,42.31,40.33,40.24,42.26,41.45,40.01
2,44.17,48.61,48.95,48.84,46.41,49.49,42.21,0,46.54,49.50,48.31,48.92,50.23,50.81,50.00
3,41.21,43.40,43.48,43.32,41.39,43.93,38.95,46.54,0,43.88,43.17,43.06,43.93,46.22,43.03
4,42.48,53.77,55.19,54.67,51.27,54.09,42.31,49.50,43.88,0,54.06,53.63,55.85,54.02,52.92
5,42.06,53.37,53.25,52.78,51.18,53.01,40.33,48.31,43.17,54.06,0,52.56,52.68,53.25,51.91
6,42.32,52.92,53.12,52.97,51.67,53.68,40.24,48.92,43.06,53.63,52.56,0,52.45,53.21,52.94
7,42.60,52.97,54.78,53.91,51.12,53.62,42.26,50.23,43.93,55.85,52.68,52.45,0,56.27,52.73
8,43.95,52.99,53.58,53.16,51.03,55.84,41.45,50.81,46.22,54.02,53.25,53.21,56.27,0,53.11
9,41.94,52.16,52.73,52.25,51.01,53.42,40.01,50.00,43.03,52.92,51.91,52.94,52.73,53.11,0

#2 Percentage based on SEMI gene counts and the genome in the left column (#11 & diagonal #11)
Genomes,1,10,11,12,13,14,15,2,3,4,5,6,7,8,9
1,0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
10,Infinity,0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
11,Infinity,Infinity,0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
