# Busco id	GWHDTYJ00000000	GWHDUBL00000000	GWHDTYK00000000	T22	GWHDTYL00000000	GCF_000695525	GWHDUBI00000000	GWHDUBP00000000	GWHDUBH00000000	GWHDUBS00000000	GWHBKLA00000000	GWHDTYE00000000	GWHDTWX00000000	OX_heart	GWHDTYA00000000	In 1 Hom. group?
18007at3699	804403	804403	804403	804403	804403	804403	804403	804403	804403	804403	804403	804403	804403	804403	804403	True
7731at3699	840875	840875	840875	840875	840875	840875	840875	840875	840875	840875	840875	840875	840875	non	840875	True
4804at3699	852017	852017	852017	852017	852017	852017	852017	852017	852017	852017	852017	852017	852017	852017	852017	True
4272at3699	829744	829744	829744	829744	829744	829744	829744	829744	829744	829744	829744	829744	829744	829744	829744	True
25367at3699	797038	797038	797038	797038	797038	797038	797038	797038	797038	797038	797041	797038	797038	797038	797038	True
2807at3699	835828	835828	835828	835828	non	835828	835828	835828	835828	835828	835828	835828	835828	819639	835828	True
9351at3699	818881	818881	818881	818881	818881	818881	818881	818881	818881	818881	818881	818881	818881	818881	818881	True
14929at3699	827556	827556	827556	827556	827556	827556	827556	827556	827556	827556	827556	827556	827556	827556	827556	True
6404at3699	843553	843553	843553	843553	843553	843553	843553	843553	843553	843553	843553	843553	843553	843554	843553	True
3146at3699	818270	818270	818270	818270	818270	818270	818270	818270	818270	818270	818270	818270	818270	818270	818270	True
6865at3699	835777	835777	835777	835777	835777	835777	835777	835777	835777	835777	835777	835777	835777	835777	835777	True
13727at3699	825793	825793	825793	825793	825793	825793	825793	825793	825793	825793	825793	825793	825793	825793	825793	True
25902at3699	809931	809931	809931	809931	809931	809931	809931	809931	809931	809931	809931	809931	809931	809931	809931	True
17352at3699	818392	818392	818392	818392	818392	818392	818392	818392	818392	818392	818392	818392	818392	818392	818392	True
14822at3699	840890	840890	840890	840890	840890	840890	840890	840890	840890	840890	840890	840890	840890	840890	840890	True
141at3699	835375	835375	835375	835375	835375	835375	835375	835375	835375	835375	835375	835375	835375	835375	835375	True
20290at3699	849671	849671	849671	849671	849671	849671	849671	849671	849671	849671	849671	849671	849671	849671	849671	True
9869at3699	839139	839139	839139	839139	839139	839139	839139	839139	839139	839139	839139	839139	839139	839139	839139	True
2680at3699	824085	824085	824085	824085	824085	824085	824085	non	824085	824085	824085	824085	824085	824085	824085	True
6502at3699	845778	845778	845778	845778	845778	845778	845778	845778	845778	845778	845778	894383	845778	845778	845778	True
19997at3699	818677	818677	818677	818677	818677	818677	818677	818677	818677	818677	818677	818677	818677	818677	818677	True
871at3699	823375	823375	823375	823375	823375	823375	823375	823375	823375	823375	823375	823375	823375	823375	823375	True
17320at3699	843213	843213	843213	843213	843213	843217	843213	843213	843213	843213	843213	843213	843213	843217	843213	True
14399at3699	849371	849371	849371	849371	849371	849371	849371	849371	849371	849371	849371	849371	849371	849371	849371	True
21224at3699	823658	823658	823658	823658	823658	823658	823658	823658	823658	823658	823658	823658	823658	823658	823658	True
4686at3699	802244	802244	802244	802244	802244	802244	802244	802244	802244	802244	802244	802244	885338	non	802244	True
1790at3699	811380	811380	811380	811380	811380	811380	811380	811380	811380	811380	811380	811380	811380	811380	811380	True
12974at3699	835776	835776	835776	835776	835776	835776	835776	835776	835776	835776	835776	835776	835776	835776	835776	True
5016at3699	817678	817678	817678	817678	817678	817678	817678	817678	817678	817678	817678	817678	817678	817678	817678	True
15164at3699	848292	848292	848292	848292	848292	848292	848292	848292	848292	848292	848292	848292	848292	848292	848292	True
4171at3699	808767	808767	808767	808767	808767	808767	808767	808767	808767	808767	808767	808767	808767	808767	808767	True
9151at3699	non	920787	844383	844383	844383	844383	844383	844383	844383	844383	844383	non	844383	non	844383	True
22683at3699	815470	815470	815470	815470	815470	815470	916372	815470	815470	815470	815470	815470	815470	815470	815470	True
7492at3699	840189	840189	840189	840189	840189	840189	840189	840189	840189	840189	840189	840189	840189	840189	840189	True
17303at3699	813977	813977	813977	non	813977	813977	813977	813977	813977	813977	813977	813977	813977	non	813977	True
19898at3699	814629	814629	814629	814629	814629	814629	814629	814629	814629	814629	814629	814629	814629	814629	814629	True
3658at3699	823138	823138	823138	823138	823138	823138	823138	823138	823138	823138	859540	823138	823138	823138	823138	True
5340at3699	820968	820968	820968	820968	820968	820968	820968	820968	820968	820968	820968	820968	820968	820968	non	True
26138at3699	838698	838698	838698	838698	838698	838698	838698	838698	838698	838698	838698	838698	838698	838698	838698	True
15821at3699	832787	832787	832786	832786	832786	832788	832787	832787	832787	832786	832788	832787	832787	832787	832787	True
7224at3699	804936	804936	804936	804936	804936	804936	804936	804936	804936	804936	866093	804936	804936	804936	804936	True
12576at3699	825669	825669	825669	825669	825669	825669	825669	825669	825669	825669	825669	825669	825669	825669	825669	True
20134at3699	806082	806082	non	806082	806082	806082	806082	806082	non	non	806082	806082	806082	806082	806082	True
18450at3699	821756	821756	821756	821756	821756	821756	821756	821756	821756	821756	821756	821756	821756	non	821756	True
14at3699	835809	835809	835809	835809	835809	835809	835809	835809	835809	835809	835809	835809	835809	835809	835809	True
10176at3699	839098	839098	839098	839098	839098	839098	839098	839098	839098	839098	839098	839098	839098	839098	839098	True
4084at3699	837348	837348	837348	837348	837348	837348	837348	837348	837348	837348	837348	837348	837348	837348	837348	True
22091at3699	800932	800932	800932	800932	800932	800932	800932	800932	800932	800932	800930	800932	800932	800932	800932	True
18047at3699	843429	843430	843430	843430	843430	843430	843430	843430	843430	843430	843430	843430	843430	843429	843430	True
25115at3699	847503	847503	847503	847503	847503	847503	847503	847503	847503	847503	847503	847503	847503	847503	847503	True
669at3699	803326	803326	803326	803326	803326	803326	803326	803326	803326	803326	803326	803326	803326	803326	803326	True
1153at3699	842288	842288	842288	842288	842288	842288	842288	926207	842288	842288	842288	842288	842288	842288	842288	True
948at3699	820284	820284	820284	820284	820284	820284	820284	820284	820284	820284	820284	820284	820284	820284	820284	True
3703at3699	844662	844662	844662	844662	844662	844662	844662	844662	844662	844662	844662	844662	844662	844662	844662	True
18596at3699	849728	849728	849728	849728	849728	849728	849728	849728	849728	849728	849728	849728	849728	849728	849728	True
11129at3699	845752	845752	845752	845752	845752	845752	845752	845752	845752	845752	845752	845752	845752	845752	845752	True
18352at3699	817139	817139	817139	817139	817139	817139	817139	817139	817139	817139	817139	817139	817139	817139	817139	True
